City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,rampur,28.8167,79.0333,23.15,53,0,2.47,IN,1697212713
184,sanya,18.2431,109.505,26.09,83,0,2.0,CN,1697212714
185,xiangxiang,27.7333,112.5333,18.05,72,100,1.08,CN,1697212714
186,markovo,57.3206,107.0881,1.99,97,100,5.79,RU,1697212714
187,port alfred,-33.5906,26.891,15.66,96,91,2.68,ZA,1697212714
188,robertsport,6.7533,-11.3686,28.09,73,92,3.43,LR,1697212714
189,lompoc,34.6391,-120.4579,20.99,87,75,2.57,US,1697212714
190,iskateley,67.6803,53.1512,1.12,76,100,4.02,RU,1697212714
191,valday,57.9747,33.2525,8.35,87,55,7.6,RU,1697212714
192,bechar,31.6167,-2.2167,27.18,19,0,3.09,DZ,1697212715
193,mount pearl,47.5166,-52.7813,13.8,94,100,6.69,CA,1697212715
194,olonkinbyen,70.9221,-8.7187,-1.92,81,98,10.48,SJ,1697212715
195,howard springs,-12.497,131.047,27.95,75,33,1.71,AU,1697212715
196,sinabang,2.4803,96.3801,25.75,87,100,3.39,ID,1697212691
197,ciutadella,40.0011,3.8414,25.45,72,0,4.58,ES,1697212715
198,ulladulla,-35.35,150.4667,10.43,70,15,3.6,AU,1697212715
199,cockburn town,21.4612,-71.1419,31.98,66,40,3.09,TC,1697212716
200,armacao de buzios,-22.7469,-41.8817,27.03,85,95,7.89,BR,1697212716
201,college,64.8569,-147.8028,-0.03,83,100,0.0,US,1697212516
202,novodvinsk,64.4165,40.8122,4.32,94,100,6.19,RU,1697212716
203,marsa alam,25.0757,34.8918,27.39,64,0,5.44,EG,1697212716
204,kodiak,57.79,-152.4072,-3.27,93,0,3.09,US,1697212716
205,berezovyy,51.6667,135.7,9.68,70,99,3.52,RU,1697212716
206,berdigestyakh,62.0989,126.6992,-2.06,69,58,5.81,RU,1697212717
207,nagqu,31.5,92.0,-0.52,25,100,1.47,CN,1697212717
208,la'ie,21.6477,-157.9253,25.06,81,11,0.89,US,1697212717
209,hobyo,5.3505,48.5268,27.98,76,3,5.28,SO,1697212717
210,scone,56.4194,-3.4051,12.38,62,6,3.13,GB,1697212717
211,madaba,31.5833,35.6667,23.09,42,0,2.0,JO,1697212717
212,antonio enes,-16.2325,39.9086,26.32,77,100,8.64,MZ,1697212717
213,kapuskasing,49.4169,-82.4331,8.05,93,100,3.6,CA,1697212718
214,znamensk,48.5842,45.7338,11.2,44,100,3.97,RU,1697212718
215,happy valley-goose bay,53.3168,-60.3315,8.17,93,100,6.69,CA,1697212564
216,jwaneng,-24.6004,24.7303,27.07,8,0,5.61,BW,1697212718
217,ginir,7.1333,40.7,16.41,82,51,1.49,ET,1697212718
218,kurgan,55.45,65.3333,6.08,66,100,5.36,RU,1697212718
219,port augusta,-32.5,137.7667,12.74,90,7,4.01,AU,1697212718
220,dunedin,-45.8742,170.5036,12.67,47,100,1.34,NZ,1697212537
221,south hedland,-20.4089,118.5983,23.96,53,0,1.54,AU,1697212719
222,northam,51.0333,-4.2167,12.44,93,100,10.22,GB,1697212719
223,popondetta,-8.7537,148.2534,22.81,98,14,1.15,PG,1697212522
224,narasannapeta,18.4167,84.05,27.13,76,44,1.74,IN,1697212719
225,port mathurin,-19.6833,63.4167,22.73,75,33,5.72,MU,1697212719
226,shalqar,47.8333,59.6,10.05,48,69,3.68,KZ,1697212719
227,tonj,7.2737,28.6822,24.98,79,79,0.65,SS,1697212719
228,hong kong,22.2855,114.1577,26.88,71,100,4.02,HK,1697212719
229,kalinkavichy,52.1323,29.3257,10.52,57,20,1.97,BY,1697212720
230,ola,59.5833,151.2833,-1.99,55,91,2.97,RU,1697212623
231,posto fiscal rolim de moura,-13.0833,-62.2667,38.51,34,16,1.25,BR,1697212720
232,la libertad,-2.2333,-80.9,25.81,78,75,3.6,EC,1697212720
233,weiser,44.251,-116.9693,9.62,80,95,1.16,US,1697212720
234,murzuq,25.9155,13.9184,28.56,20,0,2.31,LY,1697212720
235,fort bragg,35.139,-79.006,24.9,68,0,3.6,US,1697212720
236,tashla,51.7716,52.7427,11.09,55,100,8.33,RU,1697212721
237,sisimiut,66.9395,-53.6735,2.45,72,100,6.16,GL,1697212721
